년도/월,명목gdp,경제성장률,경상수지,무역수지,소비자물가,생산자물가,기준금리,콜금리,코스피지수,코스닥지수,나스닥변동률,외국인보유금,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
200906,1205348,0.8,4065,6521,2,-3.1,2,1.93,1394.53,503.34,0.0342,216.9,27.3,-5.9,-1.1,1273.9
200907,1205348,0.8,1988,4228,1.6,-3.8,2,1.93,1557.29,504.35,0.0782,254.3,28.7,-5.4,2.5,1228.5
200908,1205348,0.8,1170,1542,2.2,-3,2,1.98,1591.85,514.7,0.0154,263.3,28.9,-2.8,0.8,1248.9
200909,1205348,0.8,2198,4165,2.2,-2.5,2,1.99,1673.14,505.94,0.0564,286.4,30.1,0.7,6.9,1178.1
200910,1205348,0.8,2512,3573,2,-3.1,2,1.99,1580.69,486.46,-0.0364,273.1,30.1,-0.9,6.5,1182.5
200911,1205348,0.8,3014,4457,2.4,-0.4,2,2,1555.6,464.32,0.0486,273.7,30.6,4.6,8.3,1162.8
200912,1205348,0.8,1699,3090,2.8,1.8,2,2,1682.77,513.57,0.0581,296.8,30.5,-2.1,8.2,1164.5
201001,1322611,6.8,-1776,-801,3.5,2.6,2,2,1602.43,496.57,-0.0537,281.9,30.2,2.5,0.2,1161.8
201002,1322611,6.8,-322,1995,3,2,2,2,1594.58,507.03,0.0423,277.6,29.8,3.1,0.4,1160
201003,1322611,6.8,917,1733,2.5,2,2,2.01,1692.85,515.74,0.0714,300.8,30.3,-1.2,2.9,1131.3
201004,1322611,6.8,797,3779,2.6,2.7,2,2,1741.56,523.75,0.0264,315.8,30.8,-2.1,5.1,1108.4
201005,1322611,6.8,6650,4034,2.7,4.3,2,2.01,1641.25,489.42,-0.0829,294.4,29.7,0.6,-3.2,1202.5
201006,1322611,6.8,3751,6794,2.7,4.7,2,2,1698.29,489.98,-0.0655,301.9,29.5,4,-4.7,1222.2
201007,1322611,6.8,3549,5002,2.5,3.8,2.25,2.21,1759.33,481.45,0.069,316.6,29.9,6.6,-1.5,1182.7
201008,1322611,6.8,3758,1206,2.7,3.5,2.25,2.27,1742.75,464.71,-0.0624,311,29.7,9.4,-2.8,1198.1
201009,1322611,6.8,4207,4409,3.4,4,2.25,2.27,1872.81,492.75,0.1204,335.6,29.7,10.5,2.1,1140.2
201010,1322611,6.8,4265,6339,3.7,5.2,2.25,2.26,1882.95,526.45,0.0586,340.4,29.8,14.2,3.5,1125.3
201011,1322611,6.8,3898,2592,3,5.2,2.5,2.37,1904.63,498.39,-0.0037,351.1,30.4,9.5,0.4,1159.7
201012,1322611,6.8,-1744,4088,3,5.7,2.5,2.5,2051,510.69,0.0619,386.2,31.2,13.1,2.6,1134.8
201101,1388937,3.7,-3160,2484,3.4,6.8,2.75,2.66,2069.73,521.38,0.0178,387.8,30.8,-0.7,1.2,1121.5
201102,1388937,3.7,1345,2065,3.9,7.4,2.75,2.75,1939.3,504.46,0.0304,363.6,30.7,-0.3,0.5,1128.7
201103,1388937,3.7,-2438,2487,4.1,8.2,3,2.92,2106.7,525.42,-0.0004,395.2,30.8,-1.6,3.5,1096.7
201104,1388937,3.7,-2545,4348,3.8,8.1,3,3.01,2192.36,511,0.0332,411.8,30.9,-0.1,5.9,1071.5
201105,1388937,3.7,-1247,2046,3.9,7.5,3,3.02,2142.47,484.54,-0.0133,401.7,30.9,0.1,5.2,1079.2
201106,1388937,3.7,1322,1912,4.2,7.2,3.25,3.21,2100.69,479.55,-0.0218,392.3,30.6,1.3,6.3,1067.7
201107,1388937,3.7,3939,4654,4.5,7,3.25,3.26,2133.21,536.05,-0.0062,398.3,30.3,5,7.6,1054.5
201108,1388937,3.7,4471,410,4.7,6.9,3.25,3.25,1880.11,493.44,-0.0642,349.8,30,6.4,6.4,1066.8
201109,1388937,3.7,2996,1232,3.8,6.3,3.25,3.25,1769.65,449.66,-0.0636,338.8,30.9,6.4,-3.7,1178.1
201110,1388937,3.7,3572,3903,3.6,5.8,3.25,3.24,1909.03,490.69,0.1114,367.1,31,2.6,2.2,1110
201111,1388937,3.7,6646,3003,4.2,5.1,3.25,3.26,1847.51,492.81,-0.0239,354.6,30.8,4.6,-0.7,1143
201112,1388937,3.7,1738,2256,4.2,4.3,3.25,3.26,1825.74,500.18,-0.0058,350.9,30.6,4.7,-1.5,1151
201201,1440111,2.4,-2288,-2317,3.4,3.2,3.25,3.26,1955.79,513.99,0.0801,379.7,31,2.1,2.5,1123
201202,1440111,2.4,-2584,1216,3,3.1,3.25,3.25,2030.25,542.3,0.0544,395.5,30.9,-3.1,3,1118
201203,1440111,2.4,3580,2277,2.7,2.4,3.25,3.25,2014.04,519.56,0.042,400.6,31.6,-5.1,1.7,1133
201204,1440111,2.4,-145,2138,2.6,1.9,3.25,3.25,1981.99,478.89,-0.0146,402.1,32.3,-2.9,1.9,1130
201205,1440111,2.4,5016,2392,2.5,1,3.25,3.26,1843.47,471.94,-0.0719,367.8,31.7,-1.3,-2.4,1180
201206,1440111,2.4,6069,5169,2.2,0,3.25,3.26,1854.01,489.16,0.0381,369.4,31.5,-2,0.6,1145
201207,1440111,2.4,8376,2691,1.5,-0.6,3,3.08,1881.99,467.61,0.0015,379.6,31.9,-0.6,1.9,1130
201208,1440111,2.4,1618,1929,1.3,-0.1,3,3,1905.12,508.35,0.0434,383.5,31.7,-0.9,1.5,1134
201209,1440111,2.4,6484,2853,2.1,0.2,3,2.99,1996.21,523.78,0.0161,405.4,32,0.4,3.6,1111.4
201210,1440111,2.4,7288,3708,2.1,-0.5,2.75,2.8,1912.06,508.31,-0.0446,387.4,31.9,-2.3,5.6,1090.7
201211,1440111,2.4,8188,4423,1.6,-0.9,2.75,2.75,1932.9,499.37,0.0111,393.3,32.1,-5.6,6.4,1082.9
201212,1440111,2.4,7189,1806,1.4,-1.2,2.75,2.75,1984.8,493.66,0.0031,410.2,32.5,-10.1,7.6,1070.6
201301,1500819,3.2,2752,376,1.6,-1.6,2.75,2.76,1961.9,503.67,0.0406,401.9,32.3,-4.9,-1.7,1089
201302,1500819,3.2,2213,1874,1.6,-1.6,2.75,2.75,2026.5,535.87,0.0057,420.5,32.5,-6.4,-1.1,1083
201303,1500819,3.2,6740,3336,1.5,-2.4,2.75,2.74,2004.9,555.02,0.034,412.2,32.1,-8.1,-3.6,1111
201304,1500819,3.2,5040,2510,1.3,-2.8,2.75,2.75,1964,563.87,0.0188,399.3,31.6,-11.5,-2.8,1101
201305,1500819,3.2,9608,5918,1.2,-2.6,2.5,2.55,2001.05,577.87,0.0382,413.7,31.9,-14.3,-5.2,1129.7
201306,1500819,3.2,6825,5972,1.2,-1.4,2.5,2.49,1863.32,519.06,-0.0152,377.9,31.4,-12.5,-6.3,1142
201307,1500819,3.2,6965,2446,1.6,-1,2.5,2.48,1914.03,554.31,0.0656,385.3,31,-11.7,-4.7,1123.5
201308,1500819,3.2,6389,4717,1.5,-1.3,2.5,2.5,1926.36,516.74,-0.0101,396.6,31.8,-11.9,-3.5,1110
201309,1500819,3.2,7848,3595,1,-1.8,2.5,2.5,1996.96,534.89,0.0506,416.8,32.2,-11.6,-0.4,1074.7
201310,1500819,3.2,10724,4875,0.9,-1.4,2.5,2.5,2030.09,532.44,0.0393,437.3,33.1,-12.1,0.9,1060.7
201311,1500819,3.2,5892,4799,1.2,-0.9,2.5,2.5,2044.87,517.06,0.0358,442.4,33.3,-15.4,1.2,1058.2
201312,1500819,3.2,6264,3630,1.1,-0.4,2.5,2.5,2011.34,499.99,0.0287,430.6,33,-17.9,1.4,1055.4
201401,1562929,3.2,1838,814,1.1,-0.3,2.5,2.5,1941.15,515.2,-0.0174,412.5,32.5,1.9,-1.4,1070.4
201402,1562929,3.2,4813,850,1,-0.9,2.5,2.49,1979.99,528.96,0.0498,425.2,32.6,3.5,-1.1,1067.5
201403,1562929,3.2,6183,3505,1.3,-0.5,2.5,2.48,1985.61,541.58,-0.0253,424.6,32.3,2.4,-0.9,1064.7
201404,1562929,3.2,6876,4394,1.5,-0.3,2.5,2.49,1961.79,559.34,-0.0201,424.2,32.5,2.9,2.1,1033.2
201405,1562929,3.2,9148,4970,1.7,0,2.5,2.49,1994.96,546.53,0.0311,436.9,33,3.6,3.5,1020.1
201406,1562929,3.2,7769,5352,1.7,0.1,2.5,2.48,2002.21,537.06,0.039,437.2,32.9,4,4.3,1011.8
201407,1562929,3.2,6199,2341,1.6,0.2,2.5,2.49,2076.12,536.32,-0.0087,459.5,33.4,2.5,2.7,1027.9
201408,1562929,3.2,6794,3316,1.4,-0.2,2.25,2.34,2068.54,570.2,0.0482,455.1,33,1.4,4.1,1014
201409,1562929,3.2,7419,3261,1.1,-0.5,2.25,2.23,2020.09,573.22,-0.019,437.2,32.5,-3.7,0,1055.2
